Variable1,Variable2,Clase
0.24851012743772993,0.44997542105079547,A
0.4109408029965408,0.26029969088689986,A
0.8703956883469495,0.18503992716190498,B
0.01966142543004401,0.9532520315037121,A
0.6804508047310392,0.48658812655052786,B
0.9650268198659541,0.39339873912163337,B
0.07955757128689422,0.35140742441379624,A
0.16363516260509525,0.9831668210338976,B
0.8806281842152414,0.49406346811156343,B
0.40095924111847847,0.4512914630087632,A
0.7208768485038962,0.2477682844367063,A
0.622779952404151,0.1424488158654288,A
0.20117628247191477,0.08121772944869132,A
0.9534722948091259,0.055738269642170435,B
0.599536483455435,0.7229976304934824,B
0.970289719364822,0.8215694574121691,B
0.5275510674393611,0.3314767295436676,A
0.3539821955907989,0.07903030125787225,A
0.5559143804253861,0.16579446288973876,A
0.2952378310408912,0.8406084851586391,B
