variable1,variable2,variable_categorica,clase_objetivo
2.0846053735884262,22.50208393389304,A,Clase3
4.816810617633659,42.560539826403776,C,Clase1
4.205380353143747,18.120843211619558,B,Clase1
8.59181998521344,,C,Clase2
1.711615536116733,43.60947197481494,C,Clase2
3.388639606037004,30.13539989011136,A,Clase2
2.7053283329783118,41.59263687577832,A,Clase1
6.910413504495962,1.4366313094422156,C,nan
,35.21483103008629,C,Clase2
8.119509205386867,38.149795582140946,A,Clase3
0.10526874316108437,19.796859147935248,n,Clase2
,9.671813120561529,A,Clase3
8.137261874151964,8.446154027705772,B,Clase2
,44.47479190386811,A,Clase2
1.89111355260562,36.54710440412411,A,Clase2
0.06140866346098228,44.359701857691206,B,Clase3
7.720438714445362,,C,Clase3
9.578321680932753,33.190967399944725,B,Clase3
7.019378840943111,21.749352347548705,A,Clase1
2.9757826686505053,,n,Clase2
7.679927419555909,28.269901774465282,B,Clase2
6.882183248926141,1.72575085597228,C,Clase1
3.8718348038102226,43.61932055433578,n,Clase2
6.152058250930562,17.503771488765558,n,Clase3
,26.945067145272006,B,nan
5.842896431568949,0.37044339955465966,C,Clase2
7.026355188654519,2.4477732875639537,B,nan
1.118951718836767,46.66508973278841,A,Clase3
9.232699258444505,,B,Clase3
9.888862738633158,36.24203458892158,B,Clase2
6.7741077348804,19.902757850919595,B,Clase3
7.951647754576529,36.804036722916656,B,Clase3
0.2907634933808989,32.55688336997523,B,Clase3
1.7775907103572464,46.25176606937288,B,Clase2
8.74927745277717,30.705427134451824,C,Clase1
7.449320773686178,1.854604974483992,A,nan
5.080901632281716,5.778819033081933,B,Clase1
1.2833390182776838,37.82221165127463,C,Clase2
4.842842384531087,22.588941217453996,B,Clase1
5.157734878495315,30.233752216953114,C,Clase3
3.112646634243844,43.18530275078642,n,Clase2
0.45661542598790517,25.019073127060242,A,Clase2
4.376806600820996,40.847495747250825,C,Clase2
,32.4569406501276,C,Clase3
0.4521011190769353,22.929581246782917,B,Clase1
6.8482871866712784,,A,Clase2
8.491907452075791,41.81236440416044,C,Clase1
1.25207183193362,25.519145610982363,B,Clase2
1.290640072118362,,B,Clase1
4.730600020756564,,A,Clase3
,,A,Clase2
7.816227488269261,1.762843505896744,C,Clase3
6.074138631419917,23.577991239118095,A,Clase2
4.435000942769087,3.9440795661691785,B,Clase3
9.820291085799035,26.992744229467792,C,Clase1
7.089554138061319,34.75694299521747,A,Clase3
2.1873041542199356,2.598205207105403,A,nan
1.6748829814257826,46.92786421901532,A,Clase1
5.3876547309968705,21.544167397550208,C,Clase3
3.1342078823127864,48.578179267546915,A,Clase1
,18.824665196404556,C,Clase1
0.8625567976924198,28.924224084467625,B,Clase3
3.140740298466136,13.852540387531393,A,Clase2
,8.945768517574331,n,Clase3
7.366662295176312,25.582713896282606,A,Clase1
8.285403649470451,49.890714452808204,A,Clase3
,25.41636718045785,B,Clase1
1.7753703793604714,17.002332278179683,A,Clase3
8.5845319585373,9.39351788718173,n,Clase3
0.055124119035906416,,B,Clase2
3.5764316974130783,27.704563960899915,B,Clase3
9.531482489348544,24.183797185821028,A,nan
9.41776386080203,42.96402745389614,A,Clase2
0.2304901267712911,20.395220911476546,n,Clase2
,13.061159753051715,A,nan
1.6411433343900128,49.90635140593332,B,Clase2
5.6813237030546215,39.9275613570854,B,Clase3
2.4212295669978845,,A,nan
1.578559141684922,15.79023075965938,B,Clase1
5.0356282151579235,4.139010807730598,A,Clase3
5.717951464282342,37.27583207142025,A,Clase3
4.69952413305153,,B,Clase2
5.081672404877015,17.54493012502902,C,Clase1
3.2375160991167897,32.8097928239847,C,Clase3
8.86498355260102,41.73186800838984,n,Clase1
2.518355107948953,36.0813216748198,C,Clase1
8.620878124622662,20.293718294012514,C,nan
6.351961895274903,38.82193505768509,C,Clase1
6.972231799520316,19.406012192399803,B,Clase2
0.30453593675645596,33.17585701343515,C,Clase1
6.5731130259613755,9.099570578333637,B,Clase1
9.993224216389507,42.37979979757047,A,nan
5.065454755433445,41.680180497693584,C,Clase3
9.326457515941017,23.216587988156856,B,Clase2
4.408028685107062,11.250145667986079,B,Clase2
2.0002865147795026,0.29997507098833975,B,Clase1
8.038535682108044,,C,Clase3
8.07672059218226,25.459878992117847,C,Clase3
0.5795287157231122,2.3358496408144527,C,Clase2
7.903060350188497,28.46176339814912,n,Clase2
